id,question,choice_1,choice_2,choice_3,choice_4,choice_5,choice_6,choice_7,choice_8,choice_9,choice_10
65,สายฟ้า X9 กับ X9 FE ชิปเหมือนกันจริงมั้ย แล้วตัว FE ถูกกว่าตรงไหน,"ชิปต่างกัน X9 ใช้ S9 Pro (8-core) ส่วน X9 FE ใช้ S9 Lite (6-core) ที่เป็นชิปลดสเปคลง ประหยัดพลังงานกว่า ราคาถูกกว่า ฿3,000","ชิปต่างกัน FE ใช้ชิปรุ่นเก่ากว่า S8 ที่ลดมาจากเรือธงรุ่นก่อน ทำให้ประหยัดต้นทุนการผลิตได้มากขึ้น ราคาถูกกว่า ฿3,000","ชิปเหมือนกันคือ S9 ทั้งคู่ FE ถูกกว่าเพราะตัดเรื่อง OIS กล้อง ไม่มี Ultrawide และใช้เฟรมพลาสติก Polycarbonate แทนอะลูมิเนียม ราคาต่างกัน 3,000 บาท","ชิปเหมือนกันคือ S9 ทั้งคู่ แต่ FE ถูกกว่าเพราะแบตเล็กกว่า 4,200 mAh แทน 4,800 mAh ใช้งานได้สั้นกว่า ราคาต่างกัน ฿3,000","ชิปเหมือนกัน S9 ทั้งคู่ ต่างกันแค่สีตัวเครื่อง FE มีสีเพิ่ม 2 สีพิเศษ ราคาต่างกัน 1,000 บาท (฿16,990 vs ฿15,990) สเปคเท่ากัน","ชิปเหมือนกัน S9 ทั้งคู่ แต่ FE ถูกกว่าเพราะลดขนาดหน้าจอจาก 6.5 นิ้ว เหลือ 6.1 นิ้ว ตัวเครื่องเล็กลง แบตเท่ากัน 4,800 mAh","ชิปเหมือนกัน S9 ทั้งคู่ แต่ FE ถูกกว่าเพราะไม่กันน้ำ ตัดมาตรฐาน IP ออกเพื่อลดต้นทุนการผลิตลง ราคาต่าง ฿3,000","ชิปเหมือนกัน S9 ทั้งคู่ แต่ FE ถูกกว่าเพราะใช้หน้าจอ IPS LCD แทน AMOLED สีสันและความคมชัดต่างกันพอสมควร ราคาต่าง ฿3,000",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
66,โน้ตบุ๊ก SlimBook 14 ของ NovaTech มีบริการ on-site service ซ่อมถึงบ้านไหมคะ,มีบริการ on-site service ปีแรก เหมือนแล็ปท็อปดาวเหนือทั่วไป เช่น AirBook 14 ที่ช่างมาซ่อมถึงบ้าน,มี on-site service ตลอด 2 ปีเต็ม เพราะ NovaTech เป็นแบรนด์พันธมิตรที่ให้บริการเทียบเท่าแบรนด์ในเครือ,มี on-site service แต่เฉพาะในกรุงเทพฯ และปริมณฑล เท่านั้น ต่างจังหวัดต้องส่งเครื่องเข้าศูนย์ NovaTech,มี on-site ถ้าลงทะเบียนออนไลน์ที่ novatech.co.th ภายใน 30 วัน จะได้รับสิทธิ์ on-site service ปีแรก,"ไม่มี on-site เพราะ SlimBook 14 ราคาต่ำกว่า ฿30,000 ซึ่งเป็นเกณฑ์ขั้นต่ำสำหรับสิทธิ์ on-site service",มี on-site service เหมือนแอร์บุ๊ก 14 ของดาวเหนือ เพราะซื้อจากร้านฟ้าใหม่เหมือนกัน ได้สิทธิ์เท่ากัน,ไม่มี on-site service ต้องส่งเครื่องเข้าศูนย์ NovaTech เท่านั้น เพราะเป็นแบรนด์พันธมิตร,ไม่มี on-site เพราะ NovaTech เพิ่งเป็นแบรนด์พันธมิตรใหม่ ยังไม่ได้เปิดศูนย์บริการในไทย,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
67,แท็บ A5 WiFi ใส่ซิมโทรออกได้มั้ยครับ,ได้ ใส่ซิม 5G ได้เลย เพราะ A5 WiFi สเปคเหมือน A5 ทุกอย่าง ชิป T5 RAM 4GB รวมถึงรองรับ nano SIM 5G,ได้ แต่รองรับเฉพาะ 4G LTE เพราะรุ่น WiFi ไม่มีเสาสัญญาณ 5G ในตัว รองรับซิม nano SIM 4G LTE เท่านั้น,ได้ แต่ต้องใช้ eSIM เท่านั้น ไม่มีช่องใส่ซิมจริง เปิดใช้งาน eSIM ผ่านแอป FahMai Connect ได้ทันที ใช้เน็ต 4G,ใส่ซิมไม่ได้ เพราะ A5 WiFi เป็นรุ่นสำหรับเด็ก ตัดฟีเจอร์ซิมออกเพื่อความปลอดภัย,"ได้ เพราะ A5 กับ A5 WiFi สเปคเหมือนกันทุกอย่าง ชิป T5, RAM 4GB, แบต 7,040 mAh, จอ 10.9 นิ้ว IPS LCD","ไม่ได้ แท็บ A5 WiFi เป็นรุ่น WiFi Only ไม่มีช่องซิมและไม่รองรับเซลลูลาร์ ถ้าต้องการใส่ซิมต้องเลือกแท็บ A5 ที่ราคา 13,990",ได้ ถ้าแชร์ hotspot จากมือถือก่อนแล้วใช้แอปโทร เช่น LINE Call หรือ FahMai Talk ผ่าน WiFi ได้ (ไม่ต้องใส่ซิม),ใส่ซิมไม่ได้ เพราะ A5 WiFi ใช้ชิป T5 Lite ที่ไม่มีโมเด็มเซลลูลาร์ ต่างจาก T5 ปกติ,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
68,หูฟัง Sport X กับ Sport Lite กันน้ำต่างกันยังไงครับ ผมอยากใส่ว่ายน้ำ,Sport X เป็น IP67 แช่น้ำได้ 1 เมตร 30 นาที ส่วน Sport Lite เป็น IPX5 กัน splash เท่านั้น แช่น้ำไม่ได้,ทั้งสองรุ่นเป็น IP67 กันน้ำเหมือนกัน แช่น้ำ 1 เมตร 30 นาทีได้ทั้งคู่ เพราะเป็นรุ่น Sport เหมือนกัน,Sport X เป็น IPX5 กัน splash เท่านั้น ส่วน Sport Lite เป็น IP67 แช่น้ำได้ เพราะ Lite ออกแบบมาเพื่อว่ายน้ำ,ทั้งสองรุ่นเป็น IPX5 กัน splash เท่านั้น ใส่ออกกำลังกายกันเหงื่อได้ แต่ห้ามว่ายน้ำทั้งสองรุ่น,Sport X เป็น IP68 จมน้ำได้ 2 เมตร นาน 1 ชั่วโมง ส่วน Sport Lite เป็น IPX4 กันฝนเบา ๆ เท่านั้น,ทั้งสองรุ่นเป็น IP54 เหมือนบัดส์ Z5 Pro กันน้ำระดับกลาง กันฝนได้แต่ห้ามว่ายน้ำ ทั้ง Sport X และ Lite,Sport Lite กันน้ำดีกว่าเพราะราคาถูกกว่า ออกแบบมาเพื่อออกกำลังกายโดยเฉพาะ,Sport X เป็น IPX7 แช่น้ำ 1 เมตรได้ 30 นาที ส่วน Sport Lite เป็น IPX5 กัน splash เท่านั้น ว่ายน้ำไม่ได้,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
69,ซื้อ SaiFah Pen Gen 2 มาใช้กับแท็บ Draw Pro ได้มั้ยครับ,"ได้ เพราะเป็นปากกาของสายฟ้าเหมือนกัน ใช้ได้กับแท็บเล็ตสายฟ้าทุกรุ่นที่รองรับปากกา 4,096 ระดับแรงกด",ใช้ไม่ได้ Draw Pro ใช้ระบบ EMR คนละระบบกับ SaiFah Pen และรองรับเฉพาะ Draw Pro Pen ที่มาพร้อมกล่อง,"ได้ แต่จะใช้ได้เฉพาะฟังก์ชันวาดพื้นฐาน ไม่ได้ pressure sensitivity เต็ม 4,096 ระดับ จะเหลือแค่ 1,024 ระดับ",ได้ แต่ต้องอัปเดตซอฟต์แวร์ FahMai OS เป็นเวอร์ชันล่าสุดก่อน จึงจะรองรับ SaiFah Pen Gen 2 ได้,ได้ แต่ต้องซื้อ adapter EMR-to-AES แยกต่างหากเพื่อแปลงสัญญาณให้เข้ากันได้ (ราคา ฿790),"ได้ เพราะทั้งคู่รองรับ 4,096 ระดับแรงกดเหมือนกัน ใช้เทคโนโลยีเดียวกัน ชาร์จแม่เหล็กได้ปกติ",ใช้ไม่ได้ เพราะ SaiFah Pen Gen 2 รองรับเฉพาะ Tab S9 Pro เท่านั้น ไม่รองรับรุ่นอื่น,ใช้ไม่ได้ เพราะ Draw Pro เป็นรุ่นสำหรับมืออาชีพ ล็อกให้ใช้ได้เฉพาะปากกาที่แถมมาในกล่องเท่านั้น,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
70,ProView 27 4K ของ ArcWave เป็นคอมพิวเตอร์เหมือน All-in-One 27 ไหมคะ อยากได้ตัวที่เปิดมาใช้งานได้เลย,"ใช่ ทั้งสองรุ่นเป็นคอมพิวเตอร์ All-in-One เหมือนกัน ต่างกันแค่แบรนด์ ArcWave (฿12,990) กับดาวเหนือ (฿34,990)",ProView 27 เป็นคอมพิวเตอร์เหมือนกัน แต่ใช้ OS ของ ArcWave แทน DaoNuea OS สเปคใกล้เคียงแต่ราคาถูกกว่า,"ProView 27 ไม่ใช่คอมพิวเตอร์ เพราะราคา ฿12,990 ถูกเกินกว่าจะเป็น All-in-One ที่มีชิปประมวลผลในตัว",ProView 27 เป็นคอมพิวเตอร์ราคาถูกกว่า All-in-One 27 ใช้ชิปเซ็ตของ ArcWave แทน DaoNuea D5,ProView 27 ไม่ใช่คอมพิวเตอร์ เพราะ ArcWave เป็นแบรนด์พันธมิตรที่ผลิตเฉพาะอุปกรณ์เสริม ไม่ผลิตคอมพิวเตอร์,"ProView 27 เหมือน All-in-One 27 แต่ไม่มีลำโพงในตัว ต้องซื้อ SoundBar แยก (SoundBar 300 ฿7,990)","ProView 27 เป็น All-in-One รุ่นประหยัดจาก ArcWave ราคา ฿12,990 ใช้ชิปเซ็ตอินเทลรุ่นเริ่มต้น",ProView 27 4K เป็นจอมอนิเตอร์เท่านั้น ไม่มีคอมพิวเตอร์ในตัว ต้องต่อเครื่องแยก ส่วน All-in-One 27 เป็นคอมพิวเตอร์ครบชุด,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
71,Dock Pro กับ Dock AirBook Edition ต่างกันยังไงครับ ผมมี SlimBook 14 ใช้ตัวไหนได้บ้าง,ใช้ได้ทั้งสองตัว เพราะเชื่อมต่อผ่าน USB-C เหมือนกัน SlimBook 14 มี USB-C 3.2 Gen2 สองพอร์ต Dock Pro ต่อ USB-C ได้เลย ส่วน Dock AirBook ก็ใช้ USB-C เหมือนกัน ไม่จำกัดรุ่น,"ใช้ Dock AirBook Edition ได้ เพราะเป็น dock ราคาถูกกว่า Dock Pro (฿3,490 vs ฿4,990) และใช้พอร์ต USB-C มาตรฐาน เชื่อมต่อกับโน้ตบุ๊กทุกรุ่นที่มี USB-C ได้",ใช้ไม่ได้ทั้งสองตัว เพราะ SlimBook 14 ของ NovaTech ไม่มี Thunderbolt 4 ไม่มีขั้วแม่เหล็ก AirBook และไม่รองรับ dock ของจุดเชื่อม (JudChuam) ทุกรุ่น ต้องใช้ Hub USB-C 7-in-1 แทน,Dock AirBook Edition ออกแบบเฉพาะ AirBook series ใช้ระบบแม่เหล็กเฉพาะตัว ไม่รองรับ SlimBook ส่วน Dock Pro ก็ต้องใช้ Thunderbolt 4 ซึ่ง SlimBook ไม่มี จึงใช้ไม่ได้เต็มประสิทธิภาพทั้งคู่,ใช้ Dock Pro ได้เต็มประสิทธิภาพ เพราะเป็น dock universal ที่รองรับ USB-C 3.2 Gen2 ขึ้นไป SlimBook 14 มี USB-C 3.2 Gen2 จึงเข้ากันได้,ใช้ Dock AirBook Edition ได้ เพราะแม้ชื่อบอกว่า AirBook แต่ใช้ USB-C มาตรฐาน เชื่อมต่อได้กับโน้ตบุ๊กที่มี USB-C ทุกรุ่นรวมถึง SlimBook,ใช้ได้ทั้งคู่ แต่ต้องซื้อ adapter แม่เหล็ก (฿590) จากจุดเชื่อมเพื่อแปลงขั้วต่อให้เข้ากับ SlimBook 14 ที่ไม่มีขั้วแม่เหล็กในตัว,ใช้ Dock Pro ได้เต็มประสิทธิภาพ เพราะ SlimBook 14 มีพอร์ต Thunderbolt 4 รองรับ ส่วน Dock AirBook Edition ต้องใช้กับ AirBook เท่านั้น,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
72,เฮดโปร X1 กับ X1 SE สเปคต่างกันยังไงบ้างคะ?,สเปคหลักเหมือนกัน ต่างกันที่ X1 SE มี ANC ดีกว่า ตัดเสียงได้ลึกกว่า 5 dB และมีโหมด Adaptive ANC เพิ่มเติม,X1 SE มีแบตเตอรี่ 40 ชั่วโมงขณะ ANC เปิด ส่วน X1 ได้ 30 ชั่วโมง และ SE รองรับ aptX HD เพิ่มเติมจาก LDAC,สเปคหลักเหมือนกัน ต่างกันที่ X1 SE แบตเตอรี่ 35 ชั่วโมง (ANC เปิด) ดีกว่า X1 ที่ได้ 30 ชั่วโมง,X1 SE รองรับ LDAC แต่ X1 ธรรมดาไม่รองรับ รองรับแค่ SBC และ AAC เท่านั้น ทำให้คุณภาพเสียงต่ำกว่า,X1 SE น้ำหนักเบากว่า X1 เยอะมาก (220 กรัม vs 253 กรัม) ใช้วัสดุคาร์บอนไฟเบอร์แทนอะลูมิเนียม,สเปคหลักเหมือนกัน ต่างกันที่ X1 SE รองรับ Multipoint 3 อุปกรณ์ ส่วน X1 ได้แค่ 2 อุปกรณ์,สเปคหลักเหมือนกัน ต่างกันที่ X1 SE ใช้หนังแท้ (Premium Leather) แทน PU และมีสี Lavender Gray เพิ่ม ราคาต่างกัน 500 บาท,X1 SE ตัดเสียงรบกวนแบบ Adaptive ANC ปรับระดับอัตโนมัติ ส่วน X1 เป็น ANC ธรรมดาที่ปรับได้แค่เปิด/ปิด,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
73,soundbar 300 ที่เป็น 3.1ch ยี่ห้ออะไรครับ ตัว SoundPillar 300 กับ SoundBar 300 งงว่าอันไหนเป็นอันไหน,"SoundPillar 300 ของ ArcWave เป็น 3.1ch มี center channel ในตัว กำลังขับ 60W RMS ราคา ฿7,490 เชื่อมต่อ HDMI ARC และ Optical","ทั้งสองรุ่นเป็น 3.1ch เหมือนกัน ต่างกันแค่แบรนด์ คลื่นเสียง (฿7,990) กำลังขับ 80W กับ ArcWave (฿7,490) กำลังขับ 60W","ทั้งสองรุ่นเป็น 3.0ch เหมือนกัน ไม่มี center channel ทั้งคู่ ต่างกันแค่กำลังขับ 80W vs 60W และราคา ฿7,990 vs ฿7,490","SoundBar 300 ของ ArcWave เป็น 3.1ch มี center channel กำลังขับ 80W RMS ราคา ฿7,990 เชื่อมต่อ HDMI ARC และ Optical","SoundPillar 300 เป็น 5.1ch มาพร้อม wireless subwoofer แยก ราคา ฿7,490 ส่วน SoundBar 300 เป็น 3.1ch ในตัว ราคา ฿7,990",SoundBar 300 ของคลื่นเสียง เป็น 3.1ch มี center channel ในตัว ส่วน SoundPillar 300 ของ ArcWave เป็น 3.0ch ไม่มี center channel,"SoundPillar 300 เป็น 3.1ch เพราะราคา ฿7,490 ใกล้เคียงกับ SoundBar 300 ที่ ฿7,990 และมีกำลังขับ 60W RMS ใกล้เคียงกัน",SoundBar 300 เป็น 2.1ch (ซ้าย ขวา + subwoofer ในตัว) กำลังขับ 80W ส่วน SoundPillar 300 เป็น 3.0ch กำลังขับ 60W (ซ้าย ขวา + sub),ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
74,"แอร์บุ๊ก 14 ตัวราคา 29,990 กับตัว 24,990 ต่างกันตรงไหนบ้างคะ",ตัวแพงกว่าใช้ชิป D1 Pro 10-core ส่วนตัวถูกกว่าใช้ D1 ธรรมดา 8-core ประสิทธิภาพ GPU ต่างกัน 30%,ตัวแพงกว่ามีหน้าจอ 2K (2560x1600) ส่วนตัวถูกกว่าเป็น Full HD (1920x1080) สี sRGB ต่างกันด้วย,ตัวแพงกว่ามี Thunderbolt 4 จำนวน 2 พอร์ต ส่วนตัวถูกกว่ามี USB-C 3.2 Gen2 ธรรมดา 2 พอร์ต,ตัวแพงกว่าเบากว่า 1.0 กก. ใช้แมกนีเซียมอัลลอย ส่วนตัวถูกกว่าหนัก 1.2 กก. ใช้อะลูมิเนียมธรรมดา,ต่างกันเฉพาะ RAM (16GB vs 8GB) และ SSD (512GB vs 256GB) ตัวเครื่อง หน้าจอ แบต เหมือนกันหมด,ตัวแพงกว่าแบตอยู่ได้ 20 ชม. ใช้แบต 70Wh ส่วนตัวถูกกว่าอยู่ได้ 15 ชม. ใช้แบต 52Wh เล็กกว่า,ตัวแพงกว่ามีสี Champagne ให้เลือก ส่วนตัวถูกกว่าไม่มี ต่างกันแค่สี,ตัวแพงกว่ามี WiFi 6E (802.11ax) ส่วนตัวถูกกว่ามีแค่ WiFi 6 (802.11ax) ไม่รองรับ 6GHz band,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
75,แท็บ S8 Pro กับ S9 Pro อันไหนเป็นรุ่นปัจจุบันครับ แล้วต่างกันยังไง,S8 Pro เป็นรุ่นปัจจุบัน ส่วน S9 Pro เป็นรุ่นเก่า ราคา S8 Pro ถูกกว่าเพราะเป็นรุ่นใหม่ที่ปรับราคาลง,ทั้งคู่เป็นรุ่นปัจจุบัน ต่างกันแค่ขนาดหน้าจอ S8 Pro จอ 11 นิ้ว ส่วน S9 Pro จอ 12.9 นิ้ว ราคาต่างกัน,"ทั้งคู่เป็นรุ่นเก่า รุ่นปัจจุบันคือ S10 Pro ที่เพิ่งเปิดตัวมาพร้อมชิป T10 Pro ราคา ฿39,990",S8 Pro เป็นรุ่น Pro ตัวจริงใช้ชิประดับเรือธง ส่วน S9 Pro เป็นแค่รุ่น mid-range ที่ใส่ชื่อ Pro มา,"S9 Pro เป็นรุ่นปัจจุบัน ราคาเท่ากันทั้งสองรุ่นที่ ฿34,990 ต่างกันแค่ชิป T8 Pro กับ T9 Pro",S9 Pro เป็นรุ่นปัจจุบัน ใช้ชิป T9 Pro และ Thunderbolt ส่วน S8 Pro เป็นรุ่นก่อนหน้าที่ลดราคาพิเศษ,ทั้งคู่ใช้ชิปเดียวกันคือ T8 Pro ต่างกันแค่สี S8 Pro มีสี Space Gray ส่วน S9 Pro มีสี Silver เพิ่ม,"S8 Pro เป็นรุ่นปัจจุบัน มีสเปคดีกว่าเพราะราคา ฿24,990 ถูกกว่า S9 Pro ที่ ฿34,990 แต่ดีกว่าในทุกด้าน",ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
76,StormBook G5 กับ G5 รุ่นปี 2024 อัปเกรด RAM ได้ทั้งคู่ไหมครับ,G5 รุ่นปัจจุบันอัปเกรด RAM ได้เพราะใช้ SO-DIMM DDR5-5200 แต่ G5 รุ่นปี 2024 ใช้ RAM แบบ Soldered บัดกรีติดเมนบอร์ด อัปเกรดไม่ได้ เป็นข้อจำกัดของรุ่น Clearance ที่ต้องตรวจสอบก่อนซื้อ,G5 2024 อัปเกรดได้เพราะเป็นรุ่นเก่าออกแบบมาให้ซ่อมง่าย ใช้ SO-DIMM DDR4-3200 ส่วน G5 รุ่นปัจจุบันเปลี่ยนมาใช้ LPDDR5 บัดกรีติดบอร์ดเพื่อประหยัดพื้นที่และเพิ่มความเร็ว,อัปเกรดไม่ได้ทั้งคู่ครับ StormBook series ใช้ RAM แบบ Soldered ทุกรุ่น,"อัปเกรดได้ทั้งคู่ โดยทั้ง G5 และ G5 2024 ใช้ DDR4-3200 SO-DIMM เหมือนกัน สามารถอัปเกรดได้สูงสุด 64GB ราคาแรม DDR4 16GB เริ่มต้นที่ ฿1,290 ขายที่ร้านฟ้าใหม่",อัปเกรดได้ทั้งคู่ครับ ทั้ง G5 และ G5 2024 ใช้ RAM แบบ SO-DIMM โดย G5 ใช้ DDR5 ส่วน G5 2024 ใช้ DDR4,อัปเกรดไม่ได้ทั้งคู่ ต้องเลือกรุ่น StormBook G7 ถึงจะอัปเกรด RAM ได้,G5 รุ่นปัจจุบันอัปเกรดได้เฉพาะ SSD เท่านั้น ส่วน RAM เป็น Soldered ไม่สามารถเปลี่ยนได้ ส่วน G5 2024 อัปเกรดได้ทั้ง RAM และ SSD เนื่องจากเป็นรุ่นเก่าที่ออกแบบมาให้ซ่อมง่าย,อัปเกรดได้เฉพาะ G5 รุ่นใหม่ DDR5 เท่านั้น,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
77,AirBook 14 กับ AirBook 15 เครื่องไหนเป็นแบบไม่มีพัดลม (fanless) ครับ,AirBook 14 เท่านั้นที่เป็น fanless เพราะหน้าจอ 14 นิ้วตัวเล็กใช้พลังงานน้อย ส่วน AirBook 15 จอใหญ่กว่าต้องใช้พัดลมช่วยระบายความร้อน แต่เสียงพัดลมเบามากแทบไม่ได้ยิน,ทั้งคู่เป็น fanless ไม่มีพัดลมเลยครับ ทั้ง AirBook 14 และ AirBook 15 ใช้ระบบระบายความร้อนแบบ passive,AirBook 15 เท่านั้นที่ fanless ส่วน AirBook 14 มีพัดลมขนาดเล็ก 1 ตัว,ทั้งคู่มีพัดลมครับ แต่ใช้พัดลมเสียงเบาเป็นพิเศษ,AirBook 14 เป็น fanless แต่ AirBook 15 ใช้ dual-fan cooling เพราะต้องรองรับชิป D1 รุ่นพิเศษที่มี TDP สูงกว่าปกติ จอ 15 นิ้ว 2K ต้องการ GPU ที่แรงกว่า ทำให้เครื่องร้อนมากขึ้น,ทั้งคู่มีพัดลมแต่ AirBook 14 เสียงเบากว่า,"AirBook ทุกรุ่นเป็น fanless หมดเลยครับ ทั้ง AirBook 14 (8GB), AirBook 14 (16GB), AirBook 15 และ AirBook 14 Pro เพราะ DaoNuea ออกแบบชิป D1 ให้ประหยัดพลังงานรองรับ passive cooling ได้ทุกรุ่น",เฉพาะ AirBook 15 เป็น fanless เพราะเคสใหญ่กว่าระบายความร้อนได้ดี,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
78,ประกันแบบ on-site ของ StormBook G7 กับ Mini PC M1 ต่างกันยังไงครับ,ทั้งคู่ได้ประกัน on-site 2 ปีเหมือนกัน เพราะเป็นสินค้าแบรนด์ DaoNuea เหมือนกัน ประกัน DaoNuea ทุกสินค้าจะได้ on-site 2 ปีเป็นมาตรฐาน ไม่ว่าจะเป็น laptop หรือ desktop,G7 ได้ on-site 2 ปี ส่วน M1 ได้ on-site 1 ปี,G7 ได้ on-site แค่ปีแรก (ปี 2 เป็น drop-off) ส่วน M1 ได้ on-site ตลอด 3 ปี,G7 ได้ on-site 2 ปีเต็ม ส่วน M1 ไม่มี on-site เลยเพราะเป็น Mini PC ขนาดเล็กน้ำหนักแค่ 0.5 กก. สามารถส่งซ่อมได้ง่าย DaoNuea จึงให้แค่ประกัน drop-off 3 ปี ลูกค้าต้องส่งเครื่องมาเอง,M1 ได้ on-site 3 ปี ส่วน G7 ไม่มี on-site ต้อง drop-off ตลอด 2 ปี,ทั้งคู่ได้ on-site 3 ปีเหมือนกัน เพราะเป็นสินค้า DaoNuea,G7 เป็นแล็ปท็อป ได้ประกัน 2 ปี on-site ทั้งหมด ส่วน M1 เป็น desktop ได้ประกัน 3 ปี แต่เฉพาะปีแรกเป็น on-site ปี 2-3 ต้อง drop-off เพราะ desktop ทำ on-site ได้เฉพาะช่วงแรก,G7 ได้ on-site 1 ปี ส่วน M1 ไม่มี on-site เลย ต้อง drop-off ทั้งหมด,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
79,NovaTech SlimBook 14 กับ DaoNuea AirBook 14 ประกันต่างกันยังไงครับ,SlimBook ได้ on-site 2 ปี ส่วน AirBook ได้ drop-off 2 ปี,"ทั้งคู่ได้ประกัน 2 ปี แบบ on-site เหมือนกันทุกอย่าง เพราะราคาใกล้เคียงกัน (SlimBook ฿27,990 / AirBook ฿29,990) สินค้าราคาใกล้กันจะได้บริการประกันแบบเดียวกัน",SlimBook 14 ได้ประกันแค่ 1 ปี เพราะ NovaTech เป็น partner brand ส่วน AirBook 14 ได้ 2 ปีเพราะเป็น house brand ของฟ้าใหม่ ประกัน partner brand จะสั้นกว่า house brand เสมอ,ทั้งคู่ประกัน 2 ปี drop-off ไม่มี on-site,SlimBook ได้ on-site ปีแรก ส่วน AirBook drop-off อย่างเดียว,ทั้งคู่ประกัน 2 ปี แต่ SlimBook เป็น drop-off ตลอด ส่วน AirBook ปีแรกเป็น on-site ปี 2 เป็น drop-off,SlimBook ได้ประกัน 2 ปี on-site ปีแรก drop-off ปี 2 แบบเดียวกับ AirBook เพราะทั้งคู่เป็น ultrabook ที่จำหน่ายผ่านฟ้าใหม่ ใช้นโยบายประกันของฟ้าใหม่เหมือนกัน ไม่ต่างกัน,SlimBook ประกัน 1 ปี ส่วน AirBook ประกัน 3 ปี,ไม่มีข้อมูลนี้ในฐานข้อมูล,คำถามนี้ไม่เกี่ยวข้องกับฐานข้อมูลสินค้า
